,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED
70411,40.71745,-73.875374,0.0
702736,40.850937,-73.88238,0.0
346642,40.739082,-73.81611,0.0
593557,,,0.0
592863,,,0.0
266076,40.62313,-74.01525,0.0
756873,40.701958,-73.9239,1.0
302199,40.576042,-73.99008,0.0
154485,40.5876,-73.960365,0.0
201212,40.681484,-73.97703,1.0
249159,40.582962,-73.9864,0.0
97576,40.665794,-73.7464,0.0
281870,40.80427,-73.94177,0.0
27017,40.661495,-73.939896,1.0
144893,40.720284,-74.010155,0.0
289189,40.635494,-74.00957,0.0
797781,40.72919,-73.98724,0.0
792099,40.759624,-73.970085,1.0
192582,40.749725,-73.98363,1.0
224364,40.719677,-73.76579,0.0
534195,,,0.0
127082,40.74427,-73.87137,1.0
733708,40.777874,-73.95175,0.0
242449,,,0.0
156263,40.675632,-73.89878,0.0
740517,40.671852,-74.00325,0.0
453976,40.679485,-74.00359,0.0
301226,40.853683,-73.86917,1.0
828073,,,0.0
25913,40.745724,-73.97813,1.0
417405,40.67164,-73.95034,0.0
818939,,,1.0
629296,40.75619,-73.99057,0.0
380836,40.60432,-73.971,0.0
531703,40.644337,-74.00754,1.0
813793,,,0.0
283927,40.706917,-73.93972,0.0
548009,40.704742,-73.86016,0.0
669589,40.771122,-73.869644,0.0
516446,40.81371,-73.91127,0.0
749231,40.75667,-73.828804,0.0
837967,40.7707127,-73.8909659,0.0
710006,40.698486,-73.92144,0.0
6541,40.598553,-73.997345,0.0
543192,40.682358,-73.76714,0.0
168146,40.816612,-73.88989,0.0
685684,40.75484,-73.98412,0.0
98607,40.84301,-73.83877,1.0
811537,40.874847,-73.891335,0.0
200356,40.727592,-73.807045,0.0
130027,40.583138,-73.82798,0.0
245251,40.670006,-73.95328,0.0
670654,40.62787,-74.11814,0.0
414842,40.680954,-73.96768,0.0
477170,40.592613,-73.77784,0.0
564805,,,0.0
547279,40.664112,-73.945496,0.0
773270,,,0.0
696891,40.563915,-74.11637,0.0
754177,,,0.0
606917,,,0.0
7899,40.81609,-73.92649,0.0
261383,40.858482,-73.89247,0.0
670478,40.637962,-73.91347,0.0
602568,40.692425,-73.96075,1.0
626854,40.541153,-74.16696,1.0
290589,,,0.0
778418,40.76002,-73.85927,0.0
294105,40.753925,-73.99761,0.0
542237,40.803425,-73.93309,0.0
559624,40.7432298,-73.8377723,1.0
24359,40.86879,-73.83168,0.0
399643,40.583233,-73.974075,0.0
416046,40.65661,-73.93091,0.0
278559,40.66644,-73.95361,0.0
702051,40.608364,-74.038666,1.0
781597,40.866066,-73.89438,0.0
439671,40.813374,-73.93058,0.0
474896,,,0.0
760459,40.861862,-73.91282,0.0
430820,40.72245,-73.84626,0.0
509197,40.584137,-73.96386,0.0
615096,40.608364,-74.038666,0.0
130619,40.725037,-73.850426,0.0
4677,,,0.0
729354,40.760822,-73.99832,0.0
72568,40.61074,-74.09583,0.0
293617,40.759308,-73.9653,0.0
31875,40.743492,-73.98259,0.0
819794,,,0.0
721257,40.731945,-73.98525,0.0
488093,40.757355,-73.73887,0.0
706584,40.7187,-73.81655,0.0
125728,40.71918,-73.99029,0.0
173872,40.806606,-73.95007,0.0
802912,40.70509,-74.016464,0.0
736343,40.62418,-73.97048,0.0
76607,40.721836,-73.98834,0.0
616679,,,0.0
